,ID,Lat,Long,Label,Airport,Conventions,Entertainment,Fitness,Food,Government,Health,Hotels,Nightlife,Outdoor,Residence,School,Shops,Transports,University,Work,Total,Cost
108,0113,44.416401,8.919827,1,0.0,0.0,14.0,0.0,44.0,2.0,5.0,39.0,14.0,16.0,5.0,0.0,26.0,36.0,34.0,15.0,250.0,1210.0
109,0114,44.415695,8.915778999999999,1,0.0,0.0,5.0,0.0,29.0,1.0,5.0,12.0,6.0,8.0,2.0,0.0,21.0,34.0,7.0,7.0,137.0,1275.0
110,0115,44.410858000000005,8.908074000000001,1,0.0,3.0,3.0,1.0,34.0,6.0,2.0,5.0,2.0,11.0,3.0,2.0,28.0,12.0,7.0,13.0,132.0,1225.0
111,0116,44.406234999999995,8.946278,1,0.0,1.0,17.0,13.0,42.0,6.0,15.0,29.0,37.0,23.0,4.0,13.0,35.0,35.0,10.0,36.0,316.0,1475.0
112,0117,44.403614000000005,8.946648,1,0.0,1.0,21.0,12.0,43.0,13.0,15.0,17.0,40.0,18.0,4.0,11.0,28.0,32.0,10.0,29.0,294.0,1475.0
113,0118,44.39986,8.944535,1,0.0,0.0,16.0,6.0,38.0,13.0,16.0,5.0,30.0,11.0,3.0,7.0,17.0,9.0,9.0,29.0,209.0,1675.0
114,0119,44.397751,8.943311999999999,1,0.0,0.0,20.0,5.0,20.0,10.0,11.0,1.0,10.0,13.0,2.0,5.0,13.0,4.0,10.0,23.0,147.0,1675.0
115,0120,44.397724,8.939131,1,0.0,2.0,10.0,4.0,31.0,3.0,17.0,4.0,10.0,11.0,1.0,1.0,15.0,1.0,11.0,24.0,145.0,1325.0
116,0121,44.398548,8.935355,1,0.0,2.0,5.0,7.0,29.0,0.0,8.0,3.0,6.0,14.0,2.0,2.0,17.0,1.0,8.0,17.0,121.0,1325.0
117,0122,44.402405,8.931291,1,0.0,0.0,29.0,9.0,38.0,5.0,5.0,10.0,36.0,35.0,6.0,5.0,16.0,2.0,9.0,29.0,234.0,1210.0
118,0123,44.403652,8.930035,1,0.0,3.0,29.0,12.0,28.0,6.0,6.0,13.0,32.0,27.0,8.0,5.0,20.0,6.0,9.0,23.0,227.0,1210.0
119,0124,44.406082,8.927783999999999,1,0.0,5.0,40.0,8.0,41.0,1.0,7.0,26.0,40.0,32.0,9.0,3.0,34.0,3.0,7.0,29.0,285.0,1205.0
120,0125,44.425274,8.844291,1,0.0,0.0,5.0,6.0,40.0,1.0,13.0,1.0,11.0,7.0,2.0,1.0,20.0,12.0,2.0,8.0,129.0,1325.0
